,establishment_id,Preds,establishment_name,latitude_x,longitude_x,label
248,9393935,1,vegetarian haven,43.65606,-79.392876,Infraction
249,10328143,0,martingrove fish & chips,43.6903171335,-79.5618098073,Pass
250,10605502,1,roll n bowl,43.7677973647,-79.27074466229999,Infraction
251,9007348,0,il fornello restaurant,43.678743444300004,-79.34698502239999,Pass
252,10354729,1,lola sushi,43.7019333113,-79.3976763906,Infraction
253,9014628,0,starbucks,43.698485918500005,-79.3964179332,Pass
254,9003026,0,cineplex odeon varsity cinemas conc #2,43.6696411702,-79.3886879635,Pass
255,10359930,1,wild wing,43.78620512720001,-79.47346265600001,Infraction
256,10302871,1,the keg,43.7058425104,-79.3978407983,Infraction
257,9009707,0,mary macleod's shortbread,43.6581164382,-79.3524317988,Pass
258,10366623,0,top taste take out,43.66154,-79.42968,Pass
259,10579380,1,fort york pizzeria,43.6370159176,-79.4055772279,Infraction
260,10548420,0,ro house,43.6656922651,-79.4717680661,Pass
261,9031690,1,what a bagel!,43.7536411183,-79.3578541522,Infraction
262,10536465,1,union social eatery,43.7639167505,-79.411255282,Infraction
263,10602506,1,gigi burger,43.767286650500004,-79.4707460433,Infraction
264,10210939,0,simcoe market place,43.64460800000001,-79.38601,Pass
265,10633992,0,boston pizza,43.618414997799995,-79.5441916873,Pass
266,10515423,0,dad's cookies,43.7754842092,-79.26501801159999,Pass
267,9008744,1,le spot billiards,43.7880082112,-79.2641290416,Infraction
268,10493738,1,swiss chalet,43.7406024146,-79.2329042726,Infraction
269,9423589,1,yvonne cheng bakery,43.7055467108,-79.3462588972,Infraction
270,10565529,1,levetto,43.6552960789,-79.39936992279999,Infraction
271,10536929,1,kiva's bagel bakery & restaurant,43.791595176099996,-79.4480118996,Infraction
272,10282526,0,sobey's urban fresh,43.69790993149999,-79.3955360958,Pass
273,10435532,1,hogtown pub and oysters,43.6548309198,-79.41501406409999,Infraction
274,10234846,1,sunrise grill & crepe,43.651317999999996,-79.45100000000002,Infraction
275,10525060,0,toronto popcorn company,43.65499000000001,-79.39947,Pass
276,10319035,0,motorama restaurant,43.6801658543,-79.3401913845,Pass
277,10561004,0,home grown juice,43.6782003689,-79.3449029849,Pass
278,10366883,0,boland's open kitchen,43.7034933634,-79.3878680282,Pass
279,10574291,0,da venzia gourmet pizza,43.7239070287,-79.4165383611,Pass
280,10561432,1,subway,43.6888869516,-79.39471361359999,Infraction
281,10544893,1,big pita,43.649544,-79.370735,Infraction
282,10525712,1,freshii,43.6562581763,-79.3882231911,Infraction
283,10516606,0,pizza hut,43.617952,-79.538795,Pass
284,9348408,0,domino's pizza,43.669075,-79.41289,Pass
285,10323905,1,metro (store #442),43.654934000000004,-79.41962,Infraction
286,10351465,0,mad batter bakers,43.639697999999996,-79.422,Pass
287,10557387,1,mayette's famous fine cuisine,43.6925964194,-79.2812269623,Infraction
288,10574697,0,the good neighbour,43.6641294718,-79.4167099067,Pass
289,10574697,0,the good neighbour,43.6641294718,-79.4167099067,Pass
290,10580996,1,fat ninja bite,43.8230395883,-79.3064157614,Infraction
291,10322928,1,the rose and crown,43.7086442179,-79.3983192979,Infraction
292,10466899,0,full stop,43.6656957679,-79.4677461289,Pass
293,10297939,0,pizza nova,43.6694092458,-79.3037681726,Pass
294,10490957,0,alternative thinking,43.6643773996,-79.4111613793,Pass
295,10522327,0,columbus children's centre,43.713013515600004,-79.45674566390001,Pass
296,10407812,1,tim hortons,43.6551933601,-79.3802442405,Infraction
297,10510409,1,presse cafe,43.6627178959,-79.38620447310001,Infraction
298,10331262,0,mcdonald's,43.7762918562,-79.25802190479999,Pass
299,10502237,0,montana's cookhouse,43.623295,-79.515755,Pass
300,10480728,0,rexall pharma plus,43.657731025699995,-79.40037723270001,Pass
301,10293292,1,starbucks coffee,43.7274856335,-79.29390940409999,Infraction
302,10238770,1,soma chocolate,43.650662,-79.358266,Infraction
303,10621237,1,coffee time donuts,43.697880262,-79.4391399644,Infraction
304,10545342,0,the shore leave,43.6840653974,-79.3192854097,Pass
305,10206653,1,fast fresh foods,43.648373,-79.37993,Infraction
306,9031163,0,tim hortons,43.624733,-79.50976999999997,Pass
307,10500471,1,brasileirissimo steak house,43.64929,-79.42263,Infraction
308,10302560,0,hot oven bakery,43.6513220242,-79.4766734965,Pass
309,10318494,0,mcdonald's,43.6333478302,-79.5424874504,Pass
310,9023580,1,helena's magic kitchen,43.65413,-79.3911,Infraction
311,10616524,1,norling,43.640232,-79.43842,Infraction
312,9343858,0,tim hortons,43.652313,-79.406425,Pass
313,10360522,1,el almacen,43.64364000000001,-79.4217,Infraction
314,10449747,1,rashers,43.6609919305,-79.3411534801,Infraction
315,10604179,1,the abbey bar & grill,43.653416,-79.42718,Infraction
316,9057508,0,the only cafe,43.6805802439,-79.3378815586,Pass
317,9346809,1,wimpy's diner,43.7638216921,-79.39893597470001,Infraction
318,9057507,1,locale mercatto,43.649982,-79.38087,Infraction
319,10361750,1,taftan kebab #2,43.7744639616,-79.41457440810001,Infraction
320,10561006,1,the shmooz,43.6751778617,-79.34359538140001,Infraction
321,9001094,1,the clipper cafe,43.64867,-79.38019,Infraction
322,10341588,1,tsampa cafe,43.640125,-79.439,Infraction
323,9011208,1,occasions restaurant,43.6733853042,-79.3182712946,Infraction
324,10399435,1,swiss chalet,43.717169343900004,-79.4556001515,Infraction
325,10268146,1,fresh & wild,43.645509999999994,-79.39489,Infraction
326,10540252,1,phoenix restaurant,43.7985548109,-79.3183674483,Infraction
327,10559829,0,oven fresh,43.6339812156,-79.53175924439999,Pass
328,10589966,1,boston pizza #469,43.644325,-79.38769,Infraction
329,10412237,1,bourbon st grill,43.654597367700006,-79.3805350219,Infraction
330,10412237,1,bourbon st grill,43.654597367700006,-79.3805350219,Infraction
331,9049395,1,domino's pizza,43.641690000000004,-79.40288000000002,Infraction
332,9012389,0,popular pizza,43.75162869729999,-79.5991650712,Pass
333,10560312,1,hakka wow inc.,43.6720850122,-79.3220862061,Infraction
334,10223370,0,subway,43.6829074204,-79.41850386899999,Pass
335,10353377,1,soup nutsy,43.645737,-79.38715,Infraction
336,10262340,1,nazaret restaurant,43.661217,-79.42878,Infraction
337,10604620,1,fresh start coffee company,43.6578619517,-79.38416888100001,Infraction
338,9407262,1,druxy's,43.648685,-79.38023000000003,Infraction
339,9407262,1,druxy's,43.648685,-79.38023000000003,Infraction
340,9015474,1,thai island,43.648045,-79.38345,Infraction
341,9015474,1,thai island,43.648045,-79.38345,Infraction
342,10576320,1,kinka izakaya bloor,43.66511,-79.41066,Infraction
343,10519347,1,five guys burger & fries,43.674390697,-79.4701485,Infraction
344,10559499,1,mayur fine indian cuisine,43.7593600107,-79.31084634609999,Infraction
345,10587510,1,rolltation,43.7075505253,-79.3981657369,Infraction
346,10479696,1,mucho burrito,43.650238,-79.38929,Infraction
347,10562466,1,bandit brewery,43.652508498,-79.4496126884,Infraction
348,10376390,0,the grille,43.61738,-79.54253,Pass
349,10424457,1,penelope restaurant,43.646809999999995,-79.388245,Infraction
350,9024000,0,oyster boy,43.645171999999995,-79.41431999999998,Pass
351,9007224,1,hung food cooking,43.7869009992,-79.2743457726,Infraction
352,10631532,0,la maquette,43.64992,-79.37389,Pass
353,10557788,1,ali baba's,43.6421,-79.41141999999998,Infraction
354,10255093,0,campbell house,43.6509104746,-79.3871559441,Pass
355,10488207,1,full house chinese,43.803739666000006,-79.28682324729999,Infraction
356,10386983,0,danny's pub,43.7624766921,-79.18350409979999,Pass
357,10599255,1,the rolling pin,43.734562,-79.419853,Infraction
358,10527949,1,thai room,43.664253,-79.36811,Infraction
359,10564922,1,light cafe,43.656013,-79.393074,Infraction
360,9045289,0,tim hortons,43.646145000000004,-79.382706,Pass
361,10499583,1,rollian sushi,43.7117674887,-79.37621390000002,Infraction
362,9001751,1,bologna pastificio,43.708249548599994,-79.4531591091,Infraction
363,10546306,1,the veggie thali,43.7194273374,-79.3010634354,Infraction
364,9018664,1,tim hortons,43.79890411109999,-79.2417148318,Infraction
365,10340065,1,don juan's,43.643917,-79.38764,Infraction
366,10482363,1,shopsy's,43.77341868590001,-79.50234145350001,Infraction
367,9030095,0,tim hortons,43.6690493821,-79.38953737140001,Pass
368,9030095,0,tim hortons,43.6690493821,-79.38953737140001,Pass
369,10492144,0,green mango boys,43.632793,-79.55468,Pass
370,9061196,1,messini authentic gyros,43.6775374093,-79.35044273220001,Infraction
371,10304401,1,aji sai japanese restaurant,43.648495000000004,-79.39755,Infraction
372,10548374,0,barista & chef cafe bistro,43.6794358251,-79.4374783644,Pass
373,9008789,1,wychwood pub,43.6827901282,-79.4188689559,Infraction
374,9421924,0,parkway bowl,43.757313,-79.31241,Pass
375,10303325,0,le papillon on front,43.648604999999996,-79.37334399999997,Pass
376,9398183,0,liberty village market & cafe,43.638046,-79.42139399999998,Pass
377,10295668,0,jack astor's bar and grill,43.6893245158,-79.5845077262,Pass
378,10621820,1,kabsa mandi,43.6826514932,-79.3258555895,Infraction
379,9053780,1,pumpernickel's,43.6472394654,-79.38122802689999,Infraction
380,10308169,0,broadview espresso,43.67851687,-79.3582168425,Pass
381,10514055,1,kinton ramen,43.769832365,-79.4126548969,Infraction
382,10322833,0,blu ristorante & lounge,43.6713768321,-79.3883950471,Pass
383,9013151,1,royal beef,43.6854961441,-79.3150352317,Infraction
384,10307968,0,harvey's,43.632584,-79.543846,Pass
385,10211387,0,tim hortons,43.6465927845,-79.5136801985,Pass
386,10524748,1,pizza pan,43.673828947,-79.462735408,Infraction
387,10351328,0,starbucks coffee,43.70561494060001,-79.3976307221,Pass
388,10624388,1,golden pizza,43.6874442322,-79.3063774979,Infraction
389,10402662,1,carisma,43.649605,-79.37543000000002,Infraction
390,10319999,0,massey hall,43.6541234843,-79.3789849414,Pass
391,10507119,1,paul kee open kitchen,43.7995570342,-79.3068516016,Infraction
392,10418540,1,sunset grill,43.7103019993,-79.3628696992,Infraction
393,10297263,0,domino's pizza,43.6653759636,-79.4705881304,Pass
394,10611885,1,palm lane,43.67202525770001,-79.3951885015,Infraction
395,10441470,0,shangri-la hotel (staff cafeteria),43.64929,-79.38583,Pass
396,10539471,0,krave coffee,43.680680134300005,-79.4292316793,Pass
397,10622647,1,paramount butcher shop,43.7078846792,-79.3983167105,Infraction
398,10424443,0,tostadas grill,43.707823096400006,-79.4536772751,Pass
399,9006977,1,hodo kwaja (walnut cake),43.664184999999996,-79.41554000000002,Infraction
400,9011567,1,pantheon restaurant,43.6774160971,-79.3513689278,Infraction
401,10619976,0,kibo lakeshore,43.6004594045,-79.5056484981,Pass
402,10394609,0,williams-sonoma,43.653677971,-79.3801129844,Pass
